,name,description
46,hera pheri,"three unemployed men find the answer to all their money problems when they recieve a call from a kidnapper. however, things do not go as planned..."
47,sholay,"after his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture him."
48,dilwale dulhania le jayenge,"a young man and woman - both of indian descent but born and raised in britain - fall in love during a trip to switzerland. however, the girl's traditional father takes her back to india to fulfill a betrothal promise."
49,saala khadoos,the story of a former boxer who quits boxing following a fallout with the authorities over the underlying politics but goes on to coach a fisherwoman to fulfill his dream through her.
50,jab we met,a depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
51,haider,a young man returns to kashmir after his father's disappearance to confront his uncle - the man he suspects to have a role in his father's fate.
52,piku,"a quirky comedy about the relationship between a daughter and her aging father, whose eccentricities drive everyone crazy."
53,black,"the cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world."
54,kahaani,"a pregnant woman's search for her missing husband takes her from london to kolkata, but everyone she questions denies having ever met him."
55,water,"the film examines the plight of a group of widows forced into poverty at a temple in the holy city of varanasi. it focuses on a relationship between one of the widows, who wants to escape the social restrictions imposed on widows, and a man who is from the highest caste and a follower of mahatma gandhi."
56,black friday,"black friday is a film about the investigations following the 1993 serial bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
57,nayakan,the aging patriarch of an organized mafia dynasty looks out for a way to die with minimum pain and maximum repletion.
58,kuch kuch hota hai,"during their college years, anjali was in love with her best-friend rahul, but he had eyes only for tina. years later, rahul and the now-deceased tina's eight-year-old daughter attempts to reunite her father and anjali."
59,bajrangi bhaijaan,a man with a magnanimous heart takes a young mute pakistani girl back to her homeland to reunite her with her family.
60,bhaag milkha bhaag,"the truth behind the ascension of milkha ""the flying sikh"" singh who was scarred because of the india-pakistan partition."
61,munna bhai m.b.b.s.,a gangster sets out to fulfill his father's dream of becoming a doctor.
62,guru,"a villager, gurukant desai, arrives in bombay 1958, and rises from its streets to become the guru, the biggest tycoon in indian history."
63,shahid,"the account of human rights lawyer shahid azmi, an ordinary citizen with an extraordinary commitment to justice."
64,detective byomkesh bakshy!,the origin story of famous bengali sleuth byomkesh bakshi created by saradindu bandopadhyay.
65,queen,a delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
66,laal rang,a social drama full of black humour set in the milieu of karnal's blood theft mafia.
67,baby,"an elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. with the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of india."
68,dev.d,"after breaking up with his childhood sweetheart, a young man finds solace in drugs. meanwhile, a teenage girl is caught in the world of prostitution. will they be destroyed, or will they find redemption?"
69,jo jeeta wohi sikandar,"a rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race."
70,rock on!!,four friends reunite to relive their moments of glory as a rock band.
71,chak de! india,a disgraced hockey player coaches the women's national team to win back his honor and dignity.
72,delhi belly,three struggling room-mates unknowingly become potential prey of a ruthless gangster.
73,omkara,"shakespeare's masterpiece ""othello"" set in modern india. a politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity."
74,satya,"a young man named satya (j.d chakravarthy) comes to mumbai from south india in search of a job. jailed for something he did not do, the once-honest young man meets an underworld boss, bhiku..."
75,hey ram,saketh ram's wife is raped and killed during direct action day riots in calcutta. he is convinced that mahatma gandhi is responsible for all the problems happening in the country and sets out to kill him.
76,khosla ka ghosla!,a delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.
77,udaan,"expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
78,gulaal,"a law student witnesses deception, homicide, and crime after being elected as general secretary of his college."
79,maqbool,"macbeth meets the godfather in present-day bombay. the scottish tragedy set in the contemporary underworld of india's commercial capital; two corrupt, fortune telling policemen take the ..."
80,salaam bombay!,the boy krishna is abandoned by his mother at the apollo circus and she tells him that he can only return home when he can afford 500 rupees to pay for the bicycle of his brother that he ...
81,jaane tu... ya jaane na,two best friends being convinced that they are not in love search for each other's love.
82,badlapur,"after his family is killed during a bank robbery, a man tries to avenge their death."
83,wake up sid,"a spoiled young adult living in mumbai experiences a change in his lazy ways when he meets a woman at a party, who inspires him to ""wake up""."
84,kai po che!,three friends growing up in india at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.
85,msg 2 the messenger,"msg 2 the messenger is based on true events of dera sacha sauda in years 2000-2001. although the main story line is true, action & comedy is added for entertainment. saint gurmeet ram rahim..."
86,gol maal,"ramprasad is a recent college graduate who finds a job with a finicky man, bhavani shankar, who believes that a man without a mustache is a man without a character. bhavani shankar is also ..."
87,sarkar,"the authority of a man, who runs a parallel government in mumbai, is challenged. his son rises to face his enemies."
88,eega,a murdered man is reincarnated as a housefly and seeks to avenge his death.
89,guzaarish,a paralyzed magician-turned-radio jockey files a petition in court seeking permission to end his life.
90,lage raho munna bhai,munna bhai embarks on a journey with mahatma gandhi in order to fight against a corrupt property dealer.
91,paan singh tomar,"the story of paan singh tomar, an indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in chambal valley after his retirement."
92,vicky donor,"a man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
93,highway,"right before her wedding, a young woman finds herself abducted and held for ransom. as the initial days pass, she begins to develop a strange bond with her kidnapper."
94,vishwaroopam,"vishwanathan, a kathak dance teacher in new york, is in a rather happy marriage with nirupama who is a nuclear oncologist. she hires a detective to keep a watch on her husband, who ..."
95,the legend of bhagat singh,the story of a young revolutionary who raised an armed resistance against the british rule in india.
96,budhia singh: born to run,"a biopic about budhia singh, the world's youngest marathon runner whose story garnered controversy and inspiration around the world."
97,omg: oh my god!,a shopkeeper takes god to court when his shop is destroyed by an earthquake.
98,ankhon dekhi,"ankhon dekhi centers around raje bauji, played by sanjay mishra who, after a dramatic incident, decides that he will only believe what he sees with his eyes."
99,aligarh,"a true story of dr. shrinivas ramchandra siras, who was suspended from his job because of his sexual orientation."
100,company,"a small-time gangster named chandu teams up with malik, a low-level enforcer for a criminal syndicate. together they eliminate all their enemies, becoming the most feared gangsters in mumbai."
101,jaane bhi do yaaro,"two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light."
102,english vinglish,"a quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter everyday because of her inability to speak and understand english."
103,days of tafree,"the movie revolves around the lives of eight friends and their journey of growing up while they face the highs and lows of their relationships, love and romance, the end of their college days and the beginning of a new life."
104,amal,"autorickshaw driver amal is content with the small, but vital, role he serves - driving customers around new delhi as quickly and safely as possible. but his sense of duty is tested by an ..."
105,pyaar ka punchnama 2,"after falling in love, three roommates experience changes in their lives."
106,chupke chupke,a newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends.
107,khakee,dcp anant shrivastav (amitabh bachchan) has been assigned the mission to escort terrorist iqbal ansari (atul kulkarni) from chandangarh to mumbai. his terrorist organization are determined ...
108,hum dil de chuke sanam,"nandini has to choose between sameer, the man who taught her to fall in love; and vanraj, the man from whom she learnt how to abide and fulfill promises of love."
109,rocket singh: salesman of the year,"harpreet singh bedi (ranbir kapoor) has just graduated, and his marks are, well, let's say a little embarrassing. but marks never stopped him from dreaming of an exciting and adventurous ..."
110,oye lucky! lucky oye!,a burglar reflects on his life and loves; while the media speculates how he managed to pull off so many heists.
111,hum aapke hain koun...!,"prem, a top student, is learning the ropes of business under his elder brother rajesh and his uncle kailashnath, a big industrialist. in another town, nisha is studying computer science and..."
112,lakshya,"an aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero."
113,raanjhanaa,a small-town boy needs to break through the class divide to gain acceptance from his childhood sweetheart who is in love with big city ideals.
114,dum laga ke haisha,a slim uneducated guy is pressured into an arranged marriage with an over-weight college girl. the mismatched couple are challenged to compete in the annual wife-carrying race.
115,special 26,a gang of con-men rob prominent rich businessmen and politicians by posing as c.b.i and income tax officers.
116,madras cafe,an indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.
117,johnny gaddaar,"police officers recount a tale of missing money which results in lies, deceit, betrayal and death."
118,samsara,"a spiritual love-story set in the majestic landscape of ladakh, himalayas. samsara is a quest; one man's struggle to find spiritual enlightenment by renouncing the world. and one woman's ..."
119,tum bin...: love will find a way,"shekhar accidentally kills his associate amar, and decides to watch over amar's company and take care of his family and friends. however, he falls in love with amar's fianc piya."
120,baazigar,a vengeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father's suicide.
121,earth,it's 1947 and the borderlines between india and pakistan are being drawn. a young girl bears witnesses to tragedy as her ayah is caught between the love of two men and the rising tide of political and religious violence.
122,aankhen,vijay singh rajput (amitabh bachchan) is a quirky manager of vilasrao jefferson bank. he is extremely strict at work and believes in pushing his workers to the limit. this means that his ...
123,darr,a woman is caught between one man's love and another man's obsession. she fears one and fears for the other. one stands for love and the other for life. who will she choose?
124,ship of theseus,"the film explores questions of identity, justice, beauty, meaning and death through an experimental photographer, an ailing monk and a young stockbroker."
125,manjhi: the mountain man,"using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain."
126,kaminey,"the desperate lives of two estranged twin brothers converge over missing drugs, politics, racial prejudice, corrupt cops and an unplanned pregnancy."
127,sarfarosh,"after his brother is killed and father severly injured by terrorists, a young med student quits his studies to join the indian police service to wipe out the terrorists."
128,dil se..,the clash between love and ideology is portrayed in this love story between a radio executive and a beautiful revolutionary
129,nil battey sannata,"appu is a class 10th student and is giving up on studies, because she knows her mother will not be able to provide for her higher studies. her mother tries hard and even enrolled her for ..."
130,yuva,"michael, arjun and lallan, three men from three different stratas of society, cross paths one morning in calcutta and change one another's lives forever."
131,mumbai meri jaan,five people whose lives are affected by the 2006 mumbai train bombings.
132,maine pyar kiya,"kishen kumar chaudhary and karan are family like friends, when kishen's wife mrs. kaushalya gives birth to a baby boy prem, karan helps the couple bring up there child with out- most care. ..."
133,anniyan,"ambi, a meek lawyer, ends up being a vigilante named aparichit, and a supermodel named remo, after suffering with multiple personality disorder due to the society."
134,paanch,"4 friends (luke, murgi, joy and pondy) wasted by youth and self destruction play together in a band along with a fifth female member (shiuli). luke the lead singer and self-imposed leader ..."
135,manorama six feet under,"rajasthan-based satyaveer singh randhawa works as a junior engineer with lahkot municipality's public works department and lives a middle-class lifestyle with his wife, nimmi, and son, raju..."
136,titli,"in the badlands of delhi's dystopic underbelly, titli, the youngest member of a violent car-jacking brotherhood, plots a desperate bid to escape the 'family' business."
137,kabhi haan kabhi naa,sunil and some of his friends start a band and perform at weddings and special occasions. sunil is in love with aana but aana loves chris; when sunil finds out about this he decides to ...
138,mr. india,"a poor but big-hearted man takes orphans into his home. after discovering his scientist father's invisibility device, he rises to the occasion and fights to save his children and all of india from the clutches of a megalomaniac."
139,rahasya,only child of a doctor couple is murdered in her sleep inside their large duplex apartment.
140,kammatti paadam,"krishnan, a 42 year old man returns to his hometown kammattipaadam on the call of his childhood friend ganga."
141,shatranj ke khilari,"wazed ali shah is the ruler of one of the last independent kingdoms of india. the british, intent on controlling this rich country, have sent general outram on a secret mission to clear the..."
142,hazaaron khwaishein aisi,"geeta rao has two admirers - one is siddharth tyabji and the other is vikram malhotra circa 1969 west bengal that is witnessing it's struggle against the ruling congress party, joining ..."
143,ab tak chhappan,"aan honest cop named sadhu agashe makes a name for himself by killing criminals in sting operations instead of locking them up in prison. the film follows his method of working, gives an ..."
144,thuppakki,an army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.
145,agneepath,"a young boy's quest for revenge leads him to become a gangster as an adult, and with each day he becomes more and more like his enemies. can he find vengeance and redemption?"
146,pyaar ka punchnama,"after falling in love, three room-mates experience changes in their lives."
147,the endless wait,"a story about love, wait and loneliness."
148,belaseshe,"a story of relationships that explores the intricacies of the married life, of life-long companionship, of promises and expectations and love."
149,89,"89 is a gripping crime thriller that journeys through trauma, psychological warfare, murders and finally retribution."
150,monpura,"a housemaid is killed by a local landlord's son. his servant takes the blame for the murder, to save the landlord's mentally ill son and is marooned in an island named monpura. there the ..."
151,chotushkone,four famous directors and old friends are reunited together by an unknown producer to make a film. they make four short story in this film with one theme: death.
152,bojhena shey bojhena,"a horrible accident takes place between two buses on the highway in behrampore which includes students returning after winning their kabadi match, a newly-wed couple, a lover taking his ..."
153,dark chocolate,"the film is based on the real life murder mystery of sheena bora. bollywood actress mahima chaudhry makes her debut in bengali film as ishani banerjee, a character based on sheena's mother ..."
154,bhooter bhabishyat,"a rib-tickling comedy about a group of spirits who, in their various idiosyncrasies, try and save their only haunt, their resting place, when some unscrupulous builders try and break it down to build a modern monstrosity."
155,television,"as a leader of the local community, chairman amin bans every kind of image in his water-locked village in rural bangladesh. he even goes on to claim that imagination is also sinful since it..."
156,dulaara,"dulara is the story of a son, choose to become transgender dancer to earn money for his father to free from poverty and old debts. the film's story revolves around pradeep pandey, becomes ..."
157,dulhan chahi pakistan se,"a story of boundless love, transgressing the historically fraught indo-pak border."
158,patna se pakistan,a young man's family was killed in terrorist attack in patna he seeks for help to local minister but minister refuses so he himself goes to pakistan to avenge his familiy's killing
159,matrubhoomi: a nation without women,"a woman, attended by two midwives, is giving birth in a small village in india. when the child's cry rings, the father bangs on a steel plate to attract the attention of all the villagers, ..."
160,nirahua hindustani,"indian action-romance-comedy film directed by satish chand jain for nirahua entertainment and rahul khan productions,[1] and starring dinesh lal yadav nirahua and amrapali dubey."
161,baghban,"an elderly couple wish their children to care for them in their old age. but their children see and treat them as a burden, and they must struggle to regain their worth and dignity to themselves and others."
162,haasil,"aniruddh, a law-abiding college student, in love with niharika, gets caught up in college politics and crime and must fight it out for himself when his friend becomes his foe."
163,bol,"a female convict on death row, her last wish is to tell her story to the media."
164,in the name of god,"two brothers, both artistes, experience major changes at the hands of islamic fundamentalists and the u.s. government; while their female cousin is abducted, forced to marry, and sexually molested."
165,mor mann ke bharam,an author's struggle between what he wants to write and what others might want to read culminates into a surrealist novel.
166,mor chhainha bhuinya,hi..iam nagesh tanjay from chhattisgarh. this film rocks. must watch this.
167,jaatishwar,the life and notable works of anthony firingee a 19th century bengali language folk poet of portuguese origin.the time frame of the storyline jumps between two different time periods-19th century and the present day.
168,chhello divas,"the movie revolves around the lives of eight friends and their journey of growing up while they face the highs and lows of their relationships, love and romance, the end of their college days and the beginning of a new life."
169,thai jashe!,thai jashe! is an upcoming gujarati film written and directed by nirav barot. it is about the struggles of a middle class man to achieve his goals in the metro-city ahmedabad. the film ...
170,court,a sewerage worker's dead body is found inside a manhole in mumbai. an ageing folk singer is tried in court on charges of abetment of suicide. he is accused of performing an inflammatory ...
171,bey yaar,"in the desperation to earn quick money, two best friends put their moral values at stake and end up losing their pride and dignity. they then choose a wrong path to set things right and snatch back what was rightfully theirs."
172,kevi rite jaish,"the film is a satire on the fascination, nay, obsession of the patels - a gujarati farmer community - of migrating to the usa. over the last half a century lakhs of patels have migrated to ..."
173,stanley ka dabba,"a school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own tiffin/lunch-box."
174,gujjubhai the great,"hasmukh gandhi has a simple philosophy: enjoy and let enjoy. but his stress-free life is interrupted when his daughter, tanisha comes home with her boyfriend, montu. while everyone in the ..."
175,tuu to gayo,tuu to gayo is upcoming gujarati movie directed by dhwani gautam. it is a story of four friends and their story about marriage.
176,wrong side raju,a driver named raju embarks on an extraordinary journey of redemption by forever changing lives of 3 people due to a controversial hit and run accident.
177,parzania,"a parsi family struggles to find thier son in a genocide carried out by vested interests outfits during 2002, commonly known as gujarat riots, where more than 2000 muslims died in the indian state of gujarat."
178,bas ek chance,a passionate film-maker's journey and struggle against the stereotype of the society.
179,romance complicated,"as a favor to his father's best friend, a young man agrees to escort a woman to america where she's expected to devote herself to her studies."
180,salangai oli,the life of a person who dedicated his entire life for dance.
181,koshish,"romantic drama spaning nearly 20 years involving a deaf-mute couple, haricharian and aarti. deaf and dumb bicycle messenger haricharian meets equally deaf aarti, and persuades her to go to ..."
183,the victim,the inevitable phase in his life takes a drastic turn where fate leads his personal life beyond repairs.
184,enemy?,"in the midst of the festive season, a goan catholic family discovers that they have lost their property to the government and their family honour is at stake. sanjit, the soldier son has to..."
186,nachom-ia kumpasar,"'nachom-ia kumpasar' is a konkani feature film - a tribute to goan music and her legendary musicians. narrated through the emotional roller coaster of a love story destined to tragedy, it ..."
187,bukunja tekunja mitti: the cannibals,it's an action packed movie
188,maheshinte prathikaaram,"mahesh, a studio photographer and owner of the studio, encounters a fight. he ends up fighting and loses. mahesh ends up taking revenge that leads to certain realizations in his life."
189,mumbai police,"acp antony mosses finds the killer of his friend acp aryan jacob and just before revealing it, he meets with an accident, causing him to forget everything. days later, he is forced to investigate the murder once again."
190,spadikam,chacko master(thilakan)is a school headmaster in mathematics. he is a very strict teacher and does not go easy with his own son thomas(mohanlal).when thomas realizes that the school ...
191,7 letters,"an emotive anthology by seven of singapore's most illustrious filmmakers, celebrating sg50 through the lives and stories of singaporeans. directed by eric khoo, jack neo, k. rajagopal, royston tan, tan pin pin, boo junfeng, kelvin tong."
192,kochavva paulo ayyappa coelho,"this is a story of love, selflessness, and the magic that happens when a child enters one's life."
193,su su sudhi vathmeekam,the movie narrates the story of sudhi from age 4 to 40 who has a stuttering problem.
194,aaram thamburan,a stranger comes to live in a small town and rapidly changes the local balance of power.
195,ustad hotel,"an urbane chef from a well-to-do family with very high ambitions goes on to find approval from his conservative father, true love and the real purpose of his life."
196,devasuram,the heir to a village elder's family squanders his inheritance and bullies all and sundry.
197,magadheera,"a bike stuntman recalls his previous life as a warrior, and pursues his love's reincarnation. a sinister figure from their shared past threatens to separate them forever."
198,chithram,"father who stays in us, comes to spend his vacation with his daughter and son in law but is unaware that she has been ditched. this prompts his friend to hire a man to play the role of her husband for the time being."
199,charlie,"a young, nonconforming woman named tessa gets entangled in a cat-and-mouse chase in the by-lanes of kerala, hunting for a mysterious artist who previously lived in her apartment."
200,bangalore days,three cousins set out to fulfill their bangalore dreams.
201,oppam,a blind man trying to protect a girl from a psycho killer.
202,manamantha,the film narrates the life of four persons and their struggle for their survival in differnt situations..
203,guppy,movie narrates the story of a 12 years old boy who grows guppy fish for living in a colorful beach side colony. then comes an engineer who brings thrill and fear to the boy's normal life.
204,janatha garage,a student who loves the nature unites with the mechanic who loves to help the people. both of them should face the most deadly business man to save his people of garage.
205,premam,"three stages in george's life, and three girls he encounters in each stage."
206,pulimurugan,"the movie narrates the story of murugan, an ordinary man who lives in a village near forest area and his transformation from murugan to pulimurugan."
207,aanandam,"movie explores love, life, friendships and what it is like to be 19 and in college."
209,mee shivajiraje bhosale boltoy,"dinkar maruti bhosle, a common marathi man with an identity crisis ends up being the crusader against threats to his existance & identity as a 'marathi maanus'. in his battle against all odds & evils, he is assisted by shivaji maharaj."
210,thanks maa,a homeless petty thief attempts to find the biological mother of an abandoned baby.
211,ekk albela,the journey of bhagwan dada. a common man who rose to the top and became a legend in indian cinema.
212,coffee ani barach kahi,"what happens when two young people meet and start liking each other? somebody takes initiative, express the feelings and then if both feel the same, and they click. however, what happens ..."
213,shala,"set in the 70's in rural india, four 9th grade kids were writing their destiny. joshi (14) is madly in love with shirodkar (14) a beautiful indian looking girl. both study in the same class. the age old question ""what is love anyway?"""
214,ardh satya,"a newly appointed police rookie deals with corruption, romance, and brutality."
215,yz,"the title is not just a slang word but a hip new attitude, importantly a fresh perspective on life. yz is a coming-of-age comedy about a 33-year-old who is trapped between the identity of a boy and a man."
216,natarang,a poor working man loses his job and decides to start a theater troupe.
217,chillar party,a gang of innocent but feisty kids who lead carefree lives in chandan nagar colony takes on the big bad world of politics when one of their friend's life is endangered.
218,fandry,"love, the most beautiful emotion in all living creatures that god has made knows no bar, caste or boundaries, is the central theme of fandry. a young lad (jabya) falls in love with his ..."
219,roja,"roja lives in a tamil village, and her sister is about to marry a man from the city, who decides to marry roja instead and gets a job assignment in kashmir, where some militants decide to kidnap them."
220,natsamrat,"after he retires, an aging theatre actor and his wife begin to feel unwanted by their children."
221,killa,a 11-year-old indian boy who has just lost his father is forced to adapt to a new school in a small village. the story is about how he copes up and how life has to move on transforming a young mind into an adult day by day.
222,sairat,"in interior maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy."
223,raiders of the lost ark,archaeologist and adventurer indiana jones is hired by the u.s. government to find the ark of the covenant before the nazis.
224,mask of desire,"dipak and saraswati live a simple life in kathmandu. a devoted father and an adoring husband, dipak works as a security guard, while saraswati happily tends to traditional housework. their ..."
225,zhigrana,"christine summers has been working in an ngo in nepal for the past four years. her boss assigns her to do a last mission in ruku to collect information of the life outside of the cities, ..."
226,mokshya,"a promising musician lives through his shattered dreams, friendship and love, when he gets injured in a group attack."
228,november rain,"aayush falls in love with sheetal at first sight, unaware that fate already had them together somewhere in the past."
229,acharya,"a journey of a singer (bhakta raj acharya) who grew up in an extreme poverty without father. his chances of achieving his dream of becoming a singer was slim to none, under the ..."
230,lukamari,superb character portrait from the true theatre artists saugat and karma in an entertaining movie.
231,kabaddi,"kazi a young aimless man dreams of marrying maiya, a village girl by any means although she wants to go to the city for higher education. their lives are thrown into turmoil with the arrival of bibek, a charming young man from the city."
232,muna madan,"an epic tragedy, based on nepal's most famous epic poem. madan, a lower-class worker, is forced by poverty and mounting debts to go to lhasa, tibet, leaving behind his lonely mother and ..."
233,kabaddi kabaddi,a lovely movie by rabababu and co. as always dayahang hit the floor with his brilliant acting.
234,talakjung vs tulke,"tulk is a day-laborer in a nepalese mountain village. he struggles to reclaim his lost aristocratic identity, while a violent revolution disrupts every aspect of village life."
235,pashupati prasad,a story about a guy who lost his parents in earthquake and comes to kathmandu carrying a dream of paying his parents debt and settling his life where he faces different conflicts and situations.
236,the black hen,"we are in the year 2001, a temporary ceasefire brings a much-needed break to a small war-torn village in northern nepal, bringing much joy among the residents. prakash and kiran, two young ..."
237,loot,a man with a 'master plan' to rob a bank searches and leads four frustrated men in their quest for quick money.
238,highway to dhampus,"when laxmi, headmistress of a small orphanage in nepal, is visited by a rich socialite attempting to fix her image through charitable acts, a chain of events is set in motion that affects ..."
